id,booleanProperties,default_name,description,pincode,eqSettingID,nrLevel,customBitpool,extraDelayBeep,class_of_device
1,15,Parrot CK3100,Parrot CK3100,1234,,,,,
2,11,SouthWing SH310,SouthWing SH310,1111,,,,,2098180
3,11,SAMSUNG WEP170,Samsung WEP170,0000,,,,,2098180
4,11,Motorola T305,Motorola T305,0000,,,,,2098180
5,8,,Motorola S705,,,,,,
6,11,Motorola HS850,Motorola HS850,0000,,,,,
7,11,Motorola H500,Motorola H500,0000,,,,,2098180
8,11,Samsung WEP200,Samsung WEP200,0000,,,,,2098180
9,11,,Plantronics 320,0000,,,,,
10,11,640Plantronics,Plantronics 640,0000,,,,,2098180
11,11,PLT   510,Plantronics Voyager 510,0000,,,,,2098180
12,11,Jabra BT250v,Jabra BT250v,0000,,,,,2098184
13,11,Jawbone,Jawbone,0000,,,,,2098180
14,11,HBH-DS970,Sony Ericsson HBH-DS970,0000,,,,,2360324
15,11,Jabra BT620s,Jabra BT620s,0000,,,,,
16,0,,Motorola IHF1000,,,,,,
17,15,Motorola H670,Motorola H670,0000,,,,,2098180
18,0,,BMW 57040,,,,,,
20,2,,Deluo GPS (Generic),0000,,,,,
24,6,Parrot MK6100,Parrot MK6100,0000,,,,,
26,1,BMW ULF,BMW ULF,,,,,,
27,3,Earthmate Bluetooth Power Pack,Earthmate Bluetooth Power Pack,0000,,,,,
28,1,BMW,BMW01053,,,,,,
29,11,iPhone Bluetooth Headset,iPhone Bluetooth Headset,0000,,,,,
30,11,Nokia BH-900,Nokia BH-900,0000,,,,,
31,11,Motorola HS820,Motorola HS820,0000,,,,,2098180
32,11,Motorola HS815,Motorola HS815,0000,,,,,
33,11,HBH-DS970,Sony Ericsson HBH-DS970,0000,,,,,
34,11,Nokia BH-202,Nokia BH-202,0000,,,,,
35,11,,6XXPlantronics,0000,,,,,2098180
37,11,Nokia BH-204,Nokia BH-204,0000,,,,,
38,11,Motorola H350,Motorola H350,0000,,,,,
39,11,590Plantronics,Plantronics Pulsar 590,0000,,,,,
40,11,Jabra BT110,Jabra BT110,0000,,,,,
41,11,M3000 by Plantronics,Plantronics M3000,0000,,,,,
42,11,JABRA BT200,Jabra BT200,0000,,,,,
43,11,HBH-610a,Sony Ericsson HBH-610a,0000,,,,,
44,11,Logitech HS02-V07,Logitech HS02-V07,0000,,,,,
45,3,M2300 by Plantronics,Platronics M2300,0000,,,,,
46,11,ANYCOM HS-890,Anycom HS-890,0000,,,,,
47,11,HBH-20,Ericsson HBH-20,0000,,,,,
48,11,HBH-10,Ericsson HBH-10,0000,,,,,
49,11,Motorola H700,Motorola H700,0000,,,,,2098180
50,11,,3XXPlantronics,0000,,,,,2098180
51,11,HBH-PV705,Sony Ericsson HBH-PV705,0000,,,,,2098180
52,11,BlueTrek G2,BlueTrek G2,0000,,,,,2098180
53,11,Motorola HS850,Motorola HS850,0000,,,,,2098180
54,11,Samsung WEP410,Samsung WEP410,0000,,,,,2098180
55,11,Samsung WEP180/185,Samsung WEP180/185,0000,,,,,2098180
56,3,,Generic Jabra Headset,0000,,,,,2098180
57,11,Jabra BT150,Jabra BT150,0000,,,,,2098180
58,11,Motorola H350,Motorola H350,0000,,,,,2098180
59,11,Nokia BH-600,Nokia BH-600,0000,,,,,2098180
60,11,Nokia HS-26W,Nokia HS-26W,0000,,,,,2098180
61,11,Jabra JX10,Jabra JX10,0000,,,,,2098180
62,11,Nokia BH-200,Nokia BH-200,0000,,,,,2098180
63,11,Nokia BH-800,Nokia BH-800,0000,,,,,2098180
64,11,Motorola H375,Motorola H375,0000,,,,,2098180
65,11,Motorola H680,Motorola H680,0000,,,,,2098180
66,7,Parrot MK6100v1.00,Parrot MK6100v1.00,0000,,,,,2360328
67,11,Jabra BT5010,Jabra BT5010,0000,,,,,2098180
68,11,Motorola H12,Motorola H12,0000,,,,,2098180
69,3,HBH-DS980,Sony Ericsson HBH-DS980,0000,,,,,2360324
70,11,BT400GL,Bluetake BT400GL,0000,,,,,2098180
71,11,BLUETREK MINI,Bluetrek Mini,0000,,,,,
72,11,BLUETREK ST1,Bluetrek ST1,0000,,,,,
73,11,Oakley O ROKR PRO,Oakley O ROKR PRO,0000,,,,,
74,11,nX6000,nXZEN nX6000,0000,,,,,
75,11,Jabra BT8010,Jabra BT8010,0000,,,,,
76,3,LN790,LG LN790,1234,,,,,
77,3,LN740,LG LN740,1234,,,,,
78,3,LN735,LG LN735,1234,,,,,
79,3,LN730,LG LN730,1234,,,,,
80,11,Motorola HT820,Motorola HT820,0000,,,,,
81,11,Jabra BT4051,Jabra BT4051,0000,,,,,
82,11,ATT V521,Plantronics Voyager 521,0000,,,,,
83,11,HBH-608,Sony HBH-608,0000,,,,,
84,11,Oakley RAZWIRE,Oakley Razwire,0000,,,,,
85,11,M10,Agard M10,0000,,,,,
86,11,nxZEN,nxZEN,0000,,,,,
87,11,i.Tech Clip D,i-Tech Clip D,0000,,,,,
88,11,Jabra BT8040,Jabra BT8040,0000,,,,,
89,11,Motorola H681,Motorola H681,0000,,,,,
90,3,Motorola T505,Motorola T505,0000,,,,,
91,3,Motorola T605,Motorola T605,0000,,,,,
92,11,Motorola H371,Motorola H371,0000,,,,,
93,11,Nokia BH-701,Nokia BH-701,0000,,,,,
94,11,220Plantronics,Plantronics Explorer 220,0000,,,,,
95,11,Samsung WEP500,Samsung WEP500,0000,,,,,
96,11,SouthWing SA505,Southwing SA505,0000,,,,,
97,11,Cardo S-800,Cardo S-800,0000,,,,,
98,11,CB2455Creative,Creative CB2455,0000,,,,,
99,11,INVISIO G5,Invisio G5,0000,,,,,
100,11,JayBird JB-100 headset,Jaybird JB-100,0000,,,,,
101,11,LG HBM-560,LG HBM-560,0000,,,,,
102,3,Lubix PH2,Lubix PH2,0000,,,,,
103,11,Motorola S9,Motorola S9,0000,,,,,
104,11,DR-BT22,Sony DR-BT22,0000,,,,,
105,11,Motorola H3,Motorola H3,0000,,,,,
106,11,Nokia BH-902,Nokia BH-902,0000,,,,,
107,11,8XXPlantronics,Plantronics 855,0000,,,,,
108,11,Jabra BT5020,Jabra BT5020,0000,,,,,
109,11,EarSet 2,Bang & Olufsen EarSet 2,0000,,,,,
110,11,Jabra BT125,Jabra BT125,0000,,,,,
111,11,Motorola H300,Motorola H300,0000,,,,,
112,11,Motorola HS805,Motorola HS805,0000,,,,,
113,11,GBE211,IOGEAR Bluetooth Wireless Headset,0000,,,,,
114,11,BT AV Headset,BT AV Headset,0000,,,,,
115,11,SL3100,Creative Wireless Headphones,0000,,,,,
116,11,520Plantronics,Plantronics Voyager 520,0000,,,,,
117,5,Parrot 3200LS,Parrot 3200LS,,,,,,
118,275,Motorola IHF1000,Motorola IHF1000,1234,,,,,
119,11,Contour SSC,Contour SSC,0000,,,,,
120,11,9xxPlantronics,Plantronics Discovery 925,0000,,,,,
121,11,Jabra JX20 Pura,Jabra Jx20 Pura,0000,,,,,
122,11,VMX 100,Sennheiser VMX 100,0000,,,,,
123,3,SouthWing SH241,SouthWing SH241,0000,,,,,
124,11,Motorola S805,Motorola S805,0000,,,,,
125,3,inMotion Headset,Altec Lansing inMotion,8888,,,,,
126,3,iMT525,Altec Lansing Soundblade,0000,,,,,
127,3,BlueAnt M1,BlueAnt M1,0000,,,,,
128,3,iSkin CERULEAN F1,iSkin Cerulean F1,0000,,,,,
129,3,Clip D-Radio,Clip D-Radio,0000,,,,,
130,3,i.Tech Clip Radio,Clip Radio,8888,,,,,
131,3,Jabra BT320s,Jabra BT320s,0000,,,,,
132,3,Jabra BT3030,Jabra BT3030,0000,,,,3000,
133,3,Jabra BT8030,Jabra BT8030,0000,,,,,
134,3,Jabra BT8040,Jabra BT8040,0000,,,,3000,
135,3,Jabra SP700,Jabra SP 700,0000,,,,,
136,3,JayBird JB-100 Headset,JayBird JB-100,0000,,,,,
137,3,JBL REF 610,JBL Reference Series 610,0000,,,,,
138,3,LG HBS-110,LG HBS-110,0000,,,,,
139,3,FreePulse_Wireless,Logitech Freepulse,0000,,,,,
140,3,Bluetooth_HS,MacAlly Bluewave,0000,,,,,
141,3,Motorola EQ7,Motorola MotoRokr EQ7,0000,,,,,
142,3,Motorola S9-HD,MotoRokr S9-HD,0000,,,,,
143,3,Motorola T501,Motorola T501,0000,,,,,
144,3,Nokia BH-501,Nokia BH-501,0000,,,,,
145,3,Nokia BH-503,Nokia BH-503,0000,,,,,
146,3,Nokia BH-604,Nokia BH-604,0000,,,,3000,
147,3,Nokia BH-903,Nokia BH-903,0000,,,,,
148,3,Parrot BOOMBOX,Parrot BOOMBOX,0000,,,,,
149,3,Parrot DS1120,Parrot DS1120,0000,,,,,
150,3,Parrot MKi9200,Parrot MKi9200,0000,,,,,
151,3,Parrot PARTY,Parrot PARTY,0000,,,,,
152,3,Parrot SOUND,Parrot SOUND,0000,,,,,
153,3,260Plantronics,Plantronics Pulsar 260,0000,,,,,
154,3,Samsung SBH500,Samsung SBH500,0000,,,,,
155,3,Samsung SBH600,Samsung SBH600,0000,,,,,
156,3,Samsung SBH650,Samsung SBH650,0000,,,,,
157,3,Samsung SBH700,Samsung SBH700,0000,,,,,
158,3,Scosche Headphone,Scosche IBHPK,0000,,,,,
159,3,MM200,Sennheiser MM200,0000,,,,,
160,3,sonorix C3 v2.6,Sonorix C3,0000,,,,,
161,3,DR-BT10CX,Sony DR-BT10CX,0000,,,,,
162,3,DR-BT21G,Sony DR-BT21G,0000,,,,,
163,3,DR-BT22,Sony DR-BT22,0000,,,,,
164,3,DR-BT50,Sony DR-BT50,0000,,,,3000,
165,3,DR-BT160AS,Sony DR-BT160AS,0000,,,,,
166,3,HBH-DS220,Sony Ericsson HBH-DS220,0000,,,,,
167,3,MBS-100,Sony Ericsson MBS-100,0000,,,,,
168,3,MBS-200,Sony Ericsson MBS-200,0000,,,,,
169,3,TRI_BH102 v2.2,Tritton TRI-BH102 AX,0000,,,,,
170,3,Alpine KCE-300BT,Alpine KCE-300BT,0000,,,,3000,
171,19,ALPINE KCE-400BT,Alpine KCE-400BT,0000,,,,3000,
172,32,HANDS FREE,Denso 03 Nav,,,,,3000,
173,577,MB PhoneSystem,Mercedes NTG2.0 and 2.5,,,,,,
174,3,DR-BT140Q,Sony DR-BT140Q,0000,,,,,
175,128,LAND ROVER,LAND ROVER,,,,,,
176,3,Motorola S305,Motorola S305,0000,,,,,
177,3,BlueAnt ST3,BlueAnt Supertooth 3,0000,,,,,
178,1,UConnect,UConnect,,,,,2000,
179,1,ASTON MARTIN,ASTON MARTIN,,,1,,,
180,3,Nica,Nica Maverick,0000,,,,,
181,3,FLX 70,Sennheiser FLX 70,0000,,,,,
182,1,BTKB-1714,SolidTek BTKB-1714 keyboard,,,,,,
183,3,Motorola H695,Motorola H695,0000,,,,,
184,3,HCB-700,Sony Ericsson HCB-700,0000,,,,,
185,3,Jabra BT4010,Jabra BT4010,0000,,,,,
186,3,HBH-IS800,Sony Ericsson HBH-IS800,0000,,,,,
187,513,iPhone Cradle,Mercedes iPhone Cradle,,,,,,
188,3,LG HBS-250,LG HBS-250,0000,,,,,
189,3,Motorola DC800,Motorola DC800,0000,,,,,
190,3,Motorola H780,Motorola H780,0000,,,,,
191,3,SRS-BT100,Sony SRS-BT100,0000,,,,,
192,2049,CAR MULTIMEDIA,Denso 08,,10,,,3000,
193,1,KENWOOD BT CD/R-2P2,Kenwood KDC-BT838U,,,,,3000,
194,1025,Your Vehicle,GM (LG) Gen 9 car kit,,,,,,
195,1025,General Motors,GM (LG) Gen 8 car kit,,,,,,
196,1,MY-CAR,Nissan Leaf 2011,,,,,1750,
197,1,SONATA HYBRID,Hyundai Gen 2.0,,,,,2000,
198,1,SONATAO,Hyundai Gen 1.5,,,,,2500,
199,1,BMW18315,2006 BMW330i,,,,,2000,
200,1,SONATA,2011 Hyundai Sonata,,6,,,2500,
201,1,VW PHONE,2011 VW Tiguan,,,,,1500,
202,1,BMW 81804,2011 BMW 328i,,6,,,,
203,1,MB Bluetooth,Mercedes NTG4.0,,10,,,,
204,1,FORTE KOUP,Hyundai Gen 1.5 Navi,,,,,2500,
205,524289,HandsFreeLink,MY11 Acura TL,,,,,1500,
206,1,Pioneer BT unit,Pioneer DEH-P9800BT,,,,,2000,
207,1,General Motors,Cadillac CTS,,,,,1500,
208,4097,SYNC,Fords,,,,,,
209,8192,,VW Parrot,,6,,,,
210,49152,,BMW Parrot,,,,,,
211,32768,,BMW Parrot,,6,,,,
212,73728,,BMW Parrot,,6,,,,
213,65536,,BMW Parrot,,,,,,
214,262144,,Metawatch,,,,,,
215,262144,,Pebble,,,,,,
216,32768,,BMW,,,,,,
217,524288,,JCI kit with MAP,,,,,,
